XT_Channel_1,XT_Channel_2,XT_Channel_3,XT_Channel_4,XT_Channel_5,XT_Channel_6,XT_Channel_7,XT_Channel_8,XT_Channel_9,XT_Channel_10
-0.00150,0.00025,-0.00210,0.00035,0.00488,-0.00621,0.00127,0.00381,0.00221,-0.00034
-0.00147,-0.00038,-0.00110,-0.00167,0.00415,-0.00696,0.00074,0.00271,0.00108,0.00203
-0.00226,0.00016,-0.00129,-0.00343,0.00581,-0.00495,0.00099,0.00313,0.00005,0.00061
-0.00159,0.00109,-0.00064,-0.00302,0.00397,-0.00345,0.00095,0.00391,-0.00099,0.00061
-0.00261,0.00021,0.00058,-0.00494,0.00459,-0.00349,0.00168,0.00460,0.00082,-0.00138
-0.00373,0.00100,0.00000,-0.00481,0.00607,-0.00267,0.00156,0.00537,0.00148,-0.00319
-0.00501,0.00089,0.00041,-0.00408,0.00716,-0.00242,0.00072,0.00612,-0.00001,-0.00080
-0.00522,0.00117,0.00043,-0.00337,0.00804,-0.00232,0.00093,0.00538,-0.00164,-0.00190
-0.00577,0.00107,0.00171,-0.00503,0.00834,-0.00097,0.00172,0.00527,-0.00141,-0.00224
-0.00705,0.00123,0.00047,-0.00627,0.00885,-0.00010,0.00189,0.00592,0.00044,-0.00066
-0.00718,0.00038,0.00024,-0.00709,0.00924,0.00132,0.00151,0.00555,0.00037,-0.00007
-0.00700,-0.00018,0.00129,-0.00711,0.01091,0.00201,0.00131,0.00667,0.00075,-0.00121
-0.00827,-0.00082,0.00019,-0.00798,0.01087,0.00320,0.00175,0.00605,0.00184,-0.00279
-0.00788,-0.00084,-0.00016,-0.00995,0.01009,0.00169,0.00261,0.00662,0.00294,-0.00538
-0.00644,-0.00108,-0.00068,-0.01164,0.00901,0.00204,0.00334,0.00679,0.00356,-0.00724
-0.00784,-0.00033,-0.00022,-0.01026,0.00891,0.00190,0.00292,0.00791,0.00255,-0.00615
-0.00869,0.00057,-0.00050,-0.00980,0.01066,0.00394,0.00298,0.00874,0.00287,-0.00496
-0.00824,0.00070,-0.00110,-0.01140,0.00917,0.00576,0.00293,0.00940,0.00123,-0.00585
-0.00739,0.00164,-0.00106,-0.01300,0.01107,0.00727,0.00220,0.00935,-0.00015,-0.00412
-0.00781,0.00257,-0.00029,-0.01336,0.01007,0.00779,0.00171,0.01025,-0.00164,-0.00576
-0.00741,0.00348,-0.00032,-0.01359,0.01106,0.00757,0.00180,0.00970,-0.00131,-0.00602
-0.00862,0.00387,0.00034,-0.01158,0.00985,0.00561,0.00112,0.00999,-0.00234,-0.00704
-0.01004,0.00350,0.00023,-0.01006,0.00841,0.00492,0.00051,0.01038,-0.00137,-0.00777
-0.00938,0.00344,0.00136,-0.00859,0.01014,0.00320,0.00105,0.01086,-0.00032,-0.00800
-0.00831,0.00385,0.00184,-0.00925,0.01000,0.00218,0.00063,0.00980,-0.00081,-0.00589
-0.00838,0.00293,0.00054,-0.00886,0.01065,0.00277,0.00039,0.00911,0.00006,-0.00545
-0.00711,0.00207,0.00113,-0.01022,0.01192,0.00283,-0.00005,0.01015,0.00013,-0.00635
-0.00672,0.00205,0.00064,-0.00971,0.01224,0.00083,-0.00060,0.01097,-0.00036,-0.00438
-0.00762,0.00135,0.00111,-0.00829,0.01389,0.00076,-0.00094,0.00994,-0.00214,-0.00511
-0.00720,0.00097,0.00231,-0.00748,0.01540,0.00210,-0.00050,0.00926,-0.00254,-0.00251
-0.00643,0.00019,0.00183,-0.00777,0.01602,0.00082,-0.00056,0.01005,-0.00215,-0.00099
-0.00751,0.00097,0.00283,-0.00611,0.01530,0.00143,0.00004,0.00952,-0.00337,0.00087
-0.00816,0.00173,0.00198,-0.00571,0.01657,0.00223,0.00022,0.00906,-0.00171,-0.00146
-0.00781,0.00218,0.00175,-0.00382,0.01778,0.00417,-0.00003,0.00928,-0.00140,0.00134
-0.00824,0.00289,0.00058,-0.00331,0.01660,0.00232,-0.00049,0.00846,-0.00075,0.00289
-0.00930,0.00287,-0.00020,-0.00510,0.01690,0.00057,-0.00074,0.00795,-0.00077,0.00070
-0.01062,0.00300,-0.00093,-0.00333,0.01870,-0.00048,-0.00001,0.00743,0.00015,-0.00070
-0.01024,0.00246,-0.00209,-0.00343,0.01948,-0.00204,0.00060,0.00702,-0.00092,0.00149
-0.01053,0.00208,-0.00327,-0.00276,0.01962,-0.00064,-0.00022,0.00601,-0.00208,0.00078
-0.01132,0.00265,-0.00326,-0.00127,0.01926,-0.00121,-0.00065,0.00491,-0.00152,0.00022
-0.01244,0.00270,-0.00269,0.00024,0.01745,-0.00074,-0.00063,0.00393,-0.00075,-0.00096
-0.01140,0.00310,-0.00257,-0.00126,0.01713,0.00066,-0.00038,0.00331,-0.00218,-0.00045
-0.01092,0.00290,-0.00286,-0.00139,0.01888,-0.00057,0.00030,0.00445,-0.00257,-0.00263
-0.01157,0.00269,-0.00415,-0.00189,0.01783,-0.00168,0.00039,0.00455,-0.00249,-0.00246
-0.01028,0.00220,-0.00314,-0.00061,0.01839,0.00034,0.00069,0.00568,-0.00118,-0.00407
-0.01111,0.00301,-0.00387,-0.00025,0.01994,0.00231,0.00055,0.00507,-0.00244,-0.00445
-0.01205,0.00239,-0.00495,0.00003,0.02184,0.00316,0.00051,0.00565,-0.00292,-0.00714
-0.01298,0.00313,-0.00374,-0.00153,0.02008,0.00437,0.00040,0.00642,-0.00309,-0.00567
-0.01325,0.00382,-0.00345,-0.00320,0.02048,0.00458,0.00033,0.00602,-0.00219,-0.00500
-0.01293,0.00475,-0.00301,-0.00264,0.01925,0.00511,0.00096,0.00482,-0.00344,-0.00758
-0.01412,0.00470,-0.00231,-0.00391,0.01826,0.00475,0.00123,0.00580,-0.00318,-0.00796
-0.01314,0.00418,-0.00262,-0.00191,0.01934,0.00542,0.00047,0.00643,-0.00206,-0.00625
-0.01332,0.00345,-0.00167,-0.00249,0.02023,0.00529,0.00079,0.00575,-0.00374,-0.00516
-0.01235,0.00296,-0.00210,-0.00073,0.01897,0.00327,0.00117,0.00455,-0.00529,-0.00391
-0.01318,0.00352,-0.00179,-0.00270,0.01984,0.00273,0.00196,0.00356,-0.00652,-0.00432
-0.01276,0.00403,-0.00163,-0.00389,0.01831,0.00470,0.00117,0.00280,-0.00796,-0.00214
-0.01271,0.00461,-0.00231,-0.00190,0.01812,0.00288,0.00083,0.00269,-0.00957,-0.00477
-0.01155,0.00464,-0.00181,-0.00043,0.01880,0.00475,0.00129,0.00273,-0.00888,-0.00624
-0.01242,0.00466,-0.00064,-0.00067,0.02023,0.00378,0.00126,0.00292,-0.00982,-0.00377
-0.01297,0.00381,-0.00084,0.00122,0.01861,0.00542,0.00171,0.00398,-0.01048,-0.00445
-0.01162,0.00334,-0.00024,0.00150,0.01788,0.00345,0.00132,0.00436,-0.01162,-0.00198
-0.01118,0.00312,-0.00030,0.00348,0.01829,0.00387,0.00185,0.00475,-0.01001,0.00004
-0.01214,0.00353,0.00003,0.00475,0.01677,0.00457,0.00180,0.00579,-0.00986,0.00027
-0.01326,0.00265,-0.00086,0.00572,0.01718,0.00543,0.00147,0.00528,-0.01032,0.00292
-0.01179,0.00247,-0.00045,0.00555,0.01682,0.00570,0.00171,0.00483,-0.01139,0.00587
-0.01102,0.00216,-0.00014,0.00658,0.01542,0.00726,0.00173,0.00426,-0.01030,0.00460
-0.01000,0.00271,0.00052,0.00480,0.01408,0.00716,0.00125,0.00498,-0.01213,0.00706
-0.01125,0.00201,0.00039,0.00621,0.01580,0.00762,0.00100,0.00475,-0.01373,0.00799
-0.01276,0.00181,0.00143,0.00488,0.01502,0.00566,0.00179,0.00372,-0.01448,0.01010
-0.01325,0.00198,0.00113,0.00470,0.01632,0.00575,0.00165,0.00468,-0.01453,0.01170
-0.01295,0.00169,0.00175,0.00656,0.01576,0.00579,0.00099,0.00430,-0.01345,0.00911
-0.01379,0.00081,0.00269,0.00687,0.01569,0.00622,0.00167,0.00346,-0.01395,0.00804
-0.01424,0.00049,0.00222,0.00744,0.01667,0.00490,0.00113,0.00379,-0.01288,0.00750
-0.01575,0.00067,0.00185,0.00576,0.01529,0.00416,0.00181,0.00487,-0.01362,0.01017
-0.01441,0.00013,0.00143,0.00545,0.01641,0.00551,0.00224,0.00424,-0.01466,0.00996
-0.01388,0.00105,0.00201,0.00354,0.01739,0.00381,0.00176,0.00543,-0.01286,0.01019
-0.01286,0.00148,0.00228,0.00267,0.01680,0.00410,0.00170,0.00423,-0.01390,0.01243
-0.01398,0.00242,0.00244,0.00416,0.01752,0.00605,0.00119,0.00507,-0.01438,0.01016
-0.01414,0.00255,0.00327,0.00412,0.01626,0.00794,0.00154,0.00501,-0.01460,0.00774
-0.01400,0.00282,0.00254,0.00244,0.01783,0.00643,0.00173,0.00489,-0.01628,0.01037
-0.01349,0.00265,0.00239,0.00201,0.01778,0.00671,0.00101,0.00407,-0.01466,0.01221
-0.01306,0.00190,0.00169,0.00072,0.01745,0.00569,0.00041,0.00432,-0.01398,0.01277
-0.01370,0.00170,0.00071,-0.00011,0.01866,0.00540,0.00017,0.00530,-0.01547,0.01194
-0.01273,0.00221,0.00057,-0.00143,0.01829,0.00369,0.00014,0.00583,-0.01696,0.01411
-0.01309,0.00164,0.00056,-0.00335,0.01879,0.00309,0.00098,0.00626,-0.01751,0.01244
-0.01197,0.00210,0.00055,-0.00381,0.01737,0.00293,0.00144,0.00532,-0.01738,0.01030
-0.01099,0.00276,0.00155,-0.00573,0.01782,0.00354,0.00061,0.00516,-0.01803,0.01259
-0.01088,0.00197,0.00041,-0.00728,0.01674,0.00503,-0.00025,0.00619,-0.01715,0.01406
-0.01083,0.00259,0.00113,-0.00565,0.01797,0.00327,0.00052,0.00668,-0.01832,0.01520
-0.01072,0.00248,0.00199,-0.00630,0.01882,0.00427,-0.00005,0.00701,-0.01913,0.01508
-0.01219,0.00341,0.00156,-0.00594,0.01897,0.00531,-0.00084,0.00774,-0.01778,0.01352
-0.01300,0.00331,0.00257,-0.00536,0.01929,0.00328,-0.00059,0.00813,-0.01884,0.01256
-0.01365,0.00372,0.00285,-0.00340,0.01750,0.00519,-0.00132,0.00861,-0.01708,0.01144
-0.01351,0.00351,0.00349,-0.00532,0.01840,0.00593,-0.00047,0.00883,-0.01602,0.01387
-0.01291,0.00307,0.00476,-0.00564,0.01907,0.00770,-0.00009,0.00909,-0.01729,0.01221
-0.01339,0.00320,0.00489,-0.00708,0.02051,0.00950,-0.00029,0.01014,-0.01719,0.01018
-0.01443,0.00362,0.00485,-0.00901,0.01890,0.00956,0.00041,0.01005,-0.01632,0.00807
-0.01544,0.00276,0.00529,-0.00921,0.02019,0.01079,0.00088,0.00967,-0.01573,0.00927
-0.01471,0.00337,0.00645,-0.01065,0.02094,0.01063,0.00133,0.00901,-0.01619,0.01073
-0.01347,0.00249,0.00597,-0.00861,0.02157,0.01165,0.00172,0.00969,-0.01547,0.01012
-0.01355,0.00260,0.00560,-0.01061,0.02111,0.01333,0.00161,0.00946,-0.01627,0.00873
-0.01346,0.00216,0.00617,-0.01244,0.02248,0.01279,0.00126,0.01023,-0.01631,0.01124
-0.01458,0.00196,0.00638,-0.01448,0.02256,0.01371,0.00096,0.01010,-0.01617,0.01409
-0.01455,0.00199,0.00730,-0.01318,0.02317,0.01292,0.00111,0.01121,-0.01502,0.01458
-0.01599,0.00256,0.00653,-0.01292,0.02477,0.01118,0.00073,0.01179,-0.01348,0.01266
-0.01697,0.00295,0.00706,-0.01341,0.02653,0.00990,0.00108,0.01186,-0.01248,0.01478
-0.01741,0.00286,0.00815,-0.01222,0.02611,0.00927,0.00133,0.01144,-0.01141,0.01702
-0.01674,0.00258,0.00759,-0.01308,0.02611,0.00929,0.00072,0.01149,-0.01062,0.01606
-0.01714,0.00200,0.00743,-0.01192,0.02764,0.00808,0.00037,0.01143,-0.00941,0.01861
-0.01858,0.00113,0.00711,-0.01389,0.02578,0.00930,0.00042,0.01207,-0.00800,0.01925
-0.01986,0.00158,0.00798,-0.01484,0.02636,0.00979,0.00030,0.01159,-0.00619,0.02023
-0.02111,0.00096,0.00815,-0.01481,0.02694,0.00848,0.00096,0.01209,-0.00474,0.02211
-0.02192,0.00124,0.00932,-0.01407,0.02875,0.00689,0.00151,0.01170,-0.00439,0.02396
-0.02045,0.00182,0.00813,-0.01281,0.02809,0.00487,0.00158,0.01227,-0.00597,0.02161
-0.02063,0.00210,0.00852,-0.01203,0.02788,0.00477,0.00204,0.01323,-0.00666,0.02363
-0.02175,0.00279,0.00844,-0.01237,0.02629,0.00429,0.00162,0.01207,-0.00750,0.02373
-0.02209,0.00269,0.00856,-0.01207,0.02676,0.00350,0.00248,0.01131,-0.00813,0.02081
-0.02219,0.00274,0.00880,-0.01077,0.02777,0.00404,0.00182,0.01034,-0.00671,0.02210
-0.02173,0.00310,0.00968,-0.01005,0.02654,0.00255,0.00249,0.01045,-0.00542,0.02228
-0.02042,0.00231,0.00865,-0.00858,0.02630,0.00373,0.00223,0.00997,-0.00473,0.02115
-0.02046,0.00155,0.00750,-0.01054,0.02795,0.00271,0.00257,0.00919,-0.00401,0.02271
-0.02006,0.00189,0.00656,-0.01005,0.02668,0.00292,0.00247,0.00855,-0.00471,0.02208
-0.02003,0.00127,0.00644,-0.00821,0.02528,0.00147,0.00163,0.00824,-0.00513,0.02316
-0.01872,0.00079,0.00755,-0.00817,0.02354,0.00033,0.00145,0.00886,-0.00479,0.02489
-0.01863,0.00000,0.00806,-0.00949,0.02321,0.00070,0.00203,0.00896,-0.00488,0.02471
-0.01932,-0.00092,0.00924,-0.00779,0.02309,0.00082,0.00215,0.00875,-0.00430,0.02601
-0.02051,-0.00010,0.00978,-0.00622,0.02267,0.00059,0.00267,0.00803,-0.00529,0.02317
-0.02058,-0.00029,0.00875,-0.00721,0.02261,0.00212,0.00270,0.00837,-0.00364,0.02232
-0.02045,-0.00039,0.00887,-0.00769,0.02367,0.00264,0.00193,0.00855,-0.00530,0.01972
-0.02149,-0.00081,0.00978,-0.00824,0.02477,0.00235,0.00282,0.00967,-0.00553,0.01974
-0.02242,-0.00098,0.00898,-0.00871,0.02427,0.00051,0.00349,0.01060,-0.00588,0.02191
-0.02392,-0.00018,0.00791,-0.00669,0.02249,0.00039,0.00367,0.01179,-0.00636,0.02167
-0.02445,0.00050,0.00777,-0.00604,0.02400,-0.00135,0.00289,0.01110,-0.00539,0.02358
-0.02531,0.00058,0.00723,-0.00444,0.02265,-0.00157,0.00277,0.01000,-0.00670,0.02244
-0.02489,0.00149,0.00802,-0.00648,0.02173,-0.00177,0.00341,0.01066,-0.00677,0.02162
-0.02626,0.00181,0.00728,-0.00526,0.02325,-0.00150,0.00289,0.01084,-0.00521,0.01951
-0.02580,0.00235,0.00693,-0.00620,0.02191,-0.00352,0.00360,0.01093,-0.00353,0.02018
-0.02717,0.00220,0.00674,-0.00644,0.02325,-0.00475,0.00312,0.01136,-0.00258,0.01959
-0.02705,0.00205,0.00777,-0.00586,0.02216,-0.00409,0.00357,0.01118,-0.00092,0.01960
-0.02848,0.00138,0.00655,-0.00412,0.02170,-0.00318,0.00335,0.01231,0.00038,0.01922
-0.02977,0.00072,0.00680,-0.00370,0.02310,-0.00322,0.00321,0.01222,-0.00018,0.01669
-0.03092,0.00154,0.00692,-0.00418,0.02267,-0.00140,0.00340,0.01339,-0.00167,0.01567
-0.03083,0.00151,0.00570,-0.00255,0.02367,0.00016,0.00423,0.01421,-0.00136,0.01777
-0.03099,0.00073,0.00523,-0.00258,0.02425,0.00153,0.00406,0.01355,-0.00268,0.02048
-0.02978,0.00114,0.00547,-0.00248,0.02431,0.00279,0.00491,0.01271,-0.00169,0.02002
-0.02890,0.00173,0.00569,-0.00347,0.02507,0.00322,0.00571,0.01385,-0.00263,0.01900
-0.02836,0.00121,0.00625,-0.00376,0.02351,0.00419,0.00526,0.01366,-0.00351,0.02074
-0.02865,0.00211,0.00547,-0.00189,0.02395,0.00381,0.00508,0.01309,-0.00377,0.02209
-0.02936,0.00205,0.00558,-0.00254,0.02553,0.00492,0.00536,0.01278,-0.00353,0.02303
-0.02814,0.00169,0.00543,-0.00217,0.02631,0.00520,0.00470,0.01176,-0.00414,0.02360
-0.02943,0.00111,0.00634,-0.00155,0.02759,0.00647,0.00400,0.01237,-0.00243,0.02313
-0.02833,0.00137,0.00639,-0.00046,0.02908,0.00805,0.00385,0.01339,-0.00120,0.02107
-0.02782,0.00136,0.00727,0.00133,0.02756,0.00864,0.00475,0.01372,0.00056,0.02222
-0.02678,0.00154,0.00631,0.00268,0.02710,0.00986,0.00430,0.01375,0.00092,0.02132
-0.02638,0.00085,0.00609,0.00320,0.02700,0.01095,0.00505,0.01464,0.00154,0.02358
-0.02536,0.00001,0.00594,0.00442,0.02633,0.01157,0.00553,0.01543,0.00111,0.02376
-0.02459,0.00001,0.00518,0.00591,0.02517,0.01305,0.00480,0.01619,0.00160,0.02275
-0.02485,-0.00069,0.00531,0.00732,0.02497,0.01391,0.00462,0.01533,0.00005,0.01978
-0.02461,-0.00009,0.00508,0.00727,0.02684,0.01586,0.00499,0.01465,0.00108,0.02007
-0.02386,-0.00011,0.00557,0.00853,0.02828,0.01465,0.00562,0.01556,0.00045,0.02203
-0.02490,0.00051,0.00532,0.00878,0.03011,0.01530,0.00517,0.01585,0.00054,0.02186
-0.02397,0.00032,0.00560,0.01036,0.03091,0.01387,0.00502,0.01557,0.00142,0.01915
-0.02340,0.00007,0.00484,0.01074,0.03251,0.01187,0.00559,0.01670,0.00049,0.01697
-0.02195,-0.00052,0.00377,0.01121,0.03240,0.01060,0.00616,0.01665,-0.00073,0.01578
-0.02101,-0.00037,0.00328,0.01082,0.03229,0.01069,0.00691,0.01585,-0.00137,0.01524
-0.02097,-0.00114,0.00224,0.01078,0.03223,0.00996,0.00665,0.01607,-0.00301,0.01550
-0.02023,-0.00097,0.00342,0.01210,0.03268,0.00924,0.00724,0.01543,-0.00376,0.01844
-0.01985,-0.00117,0.00328,0.01159,0.03173,0.01037,0.00684,0.01663,-0.00478,0.02103
-0.01922,-0.00074,0.00408,0.01315,0.02990,0.01074,0.00643,0.01711,-0.00647,0.02388
-0.01787,-0.00124,0.00286,0.01352,0.02818,0.00989,0.00665,0.01592,-0.00567,0.02272
-0.01808,-0.00075,0.00396,0.01284,0.02913,0.00934,0.00658,0.01691,-0.00404,0.02093
-0.01733,-0.00087,0.00293,0.01361,0.03066,0.00970,0.00653,0.01785,-0.00467,0.02017
-0.01740,-0.00061,0.00176,0.01483,0.03237,0.00792,0.00736,0.01704,-0.00637,0.01733
-0.01773,0.00015,0.00180,0.01285,0.03425,0.00602,0.00741,0.01813,-0.00586,0.01973
-0.01624,-0.00054,0.00267,0.01287,0.03263,0.00623,0.00722,0.01849,-0.00580,0.01825
-0.01606,-0.00092,0.00321,0.01463,0.03359,0.00517,0.00760,0.01787,-0.00533,0.02052
-0.01754,-0.00156,0.00435,0.01384,0.03286,0.00344,0.00813,0.01906,-0.00430,0.02027
-0.01864,-0.00194,0.00389,0.01270,0.03449,0.00339,0.00788,0.01870,-0.00447,0.02100
-0.01759,-0.00285,0.00356,0.01115,0.03515,0.00216,0.00790,0.01783,-0.00550,0.02113
-0.01767,-0.00253,0.00332,0.00935,0.03363,0.00023,0.00780,0.01696,-0.00696,0.01825
-0.01787,-0.00250,0.00435,0.00736,0.03199,-0.00108,0.00840,0.01578,-0.00834,0.02014
-0.01804,-0.00191,0.00529,0.00830,0.03137,-0.00174,0.00835,0.01471,-0.00980,0.01810
-0.01696,-0.00248,0.00658,0.00650,0.02971,-0.00136,0.00808,0.01459,-0.00795,0.02102
-0.01819,-0.00198,0.00655,0.00496,0.02957,-0.00118,0.00754,0.01528,-0.00802,0.01816
-0.01775,-0.00114,0.00579,0.00383,0.02977,0.00023,0.00775,0.01633,-0.00947,0.02082
-0.01818,-0.00128,0.00603,0.00180,0.02903,0.00105,0.00823,0.01699,-0.00979,0.01958
-0.01746,-0.00218,0.00705,0.00289,0.02836,0.00270,0.00829,0.01680,-0.00975,0.02118
-0.01660,-0.00269,0.00678,0.00428,0.02897,0.00431,0.00825,0.01744,-0.01116,0.02314
-0.01571,-0.00275,0.00767,0.00423,0.02848,0.00301,0.00887,0.01861,-0.01093,0.02173
-0.01430,-0.00340,0.00762,0.00321,0.02779,0.00320,0.00977,0.01885,-0.01142,0.02077
-0.01484,-0.00309,0.00720,0.00480,0.02823,0.00491,0.00912,0.01778,-0.01304,0.01907
-0.01430,-0.00253,0.00716,0.00473,0.02879,0.00304,0.00920,0.01736,-0.01193,0.01790
-0.01505,-0.00242,0.00757,0.00506,0.02748,0.00159,0.00927,0.01670,-0.01206,0.02079
-0.01504,-0.00271,0.00880,0.00404,0.02691,0.00254,0.00849,0.01636,-0.01092,0.02009
-0.01352,-0.00293,0.00849,0.00554,0.02692,0.00172,0.00828,0.01727,-0.01121,0.02022
-0.01241,-0.00237,0.00849,0.00496,0.02583,0.00006,0.00916,0.01671,-0.01161,0.01852
-0.01197,-0.00161,0.00961,0.00506,0.02634,0.00185,0.00934,0.01705,-0.01060,0.01748
-0.01267,-0.00110,0.00911,0.00392,0.02474,0.00380,0.00871,0.01676,-0.01208,0.01994
-0.01185,-0.00147,0.00790,0.00502,0.02325,0.00344,0.00907,0.01569,-0.01118,0.02269
-0.01190,-0.00146,0.00825,0.00537,0.02266,0.00327,0.00977,0.01489,-0.00937,0.02158
-0.01183,-0.00130,0.00833,0.00538,0.02144,0.00242,0.00987,0.01512,-0.00990,0.02344
-0.01051,-0.00115,0.00791,0.00471,0.02291,0.00325,0.01062,0.01523,-0.00975,0.02181
-0.01161,-0.00105,0.00795,0.00308,0.02306,0.00448,0.01115,0.01445,-0.01117,0.02089
-0.01227,-0.00119,0.00844,0.00358,0.02350,0.00357,0.01057,0.01362,-0.01088,0.02182
-0.01168,-0.00139,0.00872,0.00362,0.02205,0.00156,0.01115,0.01480,-0.01192,0.02403
-0.01134,-0.00187,0.00813,0.00479,0.02062,0.00071,0.01078,0.01464,-0.01229,0.02401
-0.01282,-0.00127,0.00687,0.00301,0.01958,-0.00117,0.01099,0.01462,-0.01285,0.02624
-0.01383,-0.00140,0.00684,0.00473,0.01935,-0.00244,0.01116,0.01352,-0.01294,0.02746
-0.01490,-0.00062,0.00588,0.00616,0.02118,-0.00117,0.01129,0.01427,-0.01335,0.02781
-0.01604,-0.00095,0.00640,0.00459,0.02047,-0.00320,0.01145,0.01517,-0.01215,0.03059
-0.01508,-0.00048,0.00763,0.00417,0.02089,-0.00492,0.01132,0.01493,-0.01138,0.03098
-0.01555,0.00035,0.00786,0.00523,0.02175,-0.00507,0.01043,0.01542,-0.01112,0.03243
-0.01498,0.00108,0.00754,0.00446,0.02068,-0.00587,0.01111,0.01421,-0.01093,0.03360
-0.01642,0.00099,0.00687,0.00517,0.02038,-0.00777,0.01174,0.01494,-0.00926,0.03349
-0.01706,0.00037,0.00802,0.00482,0.02036,-0.00749,0.01090,0.01463,-0.00901,0.03496
-0.01778,0.00033,0.00729,0.00406,0.02220,-0.00605,0.01069,0.01351,-0.00899,0.03599
-0.01891,0.00059,0.00673,0.00383,0.02186,-0.00458,0.01097,0.01260,-0.01046,0.03761
-0.01744,0.00038,0.00744,0.00343,0.02096,-0.00364,0.01162,0.01346,-0.01145,0.03842
-0.01784,0.00025,0.00742,0.00256,0.02096,-0.00431,0.01136,0.01249,-0.01037,0.03695
-0.01887,0.00029,0.00756,0.00074,0.02203,-0.00541,0.01123,0.01236,-0.00948,0.03668
-0.01780,0.00110,0.00632,0.00126,0.02344,-0.00604,0.01123,0.01228,-0.01070,0.03871
-0.01812,0.00023,0.00677,0.00119,0.02174,-0.00676,0.01207,0.01138,-0.00944,0.04076
-0.01896,-0.00010,0.00702,-0.00060,0.02177,-0.00805,0.01245,0.01099,-0.00841,0.03792
-0.01867,-0.00103,0.00644,0.00056,0.02356,-0.00864,0.01158,0.01129,-0.00663,0.03634
-0.01870,-0.00118,0.00703,-0.00002,0.02364,-0.00721,0.01096,0.01236,-0.00582,0.03394
-0.01973,-0.00148,0.00659,0.00082,0.02339,-0.00596,0.01009,0.01220,-0.00570,0.03178
-0.01856,-0.00124,0.00632,0.00178,0.02515,-0.00684,0.01064,0.01332,-0.00472,0.03287
-0.01934,-0.00174,0.00737,0.00054,0.02533,-0.00772,0.01128,0.01246,-0.00414,0.03426
-0.02084,-0.00122,0.00628,0.00178,0.02593,-0.00632,0.01189,0.01194,-0.00356,0.03399
-0.02067,-0.00110,0.00640,0.00271,0.02457,-0.00668,0.01186,0.01081,-0.00359,0.03194
